county_fips,state_name,slope_drop_dist,mean_after_drop_dist,slope_last_fatigue_dist,slope_drop_visitation,mean_after_drop_visitation,slope_last_fatigue_visitation,slope_drop_encounters,mean_after_drop_encounters,slope_last_fatigue_encounters,median_household_income,prop_poor,pop_density_land,black_prop,proportion_essential,prop_coverage
2020,alaska,-0.029876292,-0.524388142,0.01015093,-0.037152438,-0.529424272,0.020005262,-0.034992801,-0.76359956,0.016719821,82113,0.095,67.00029188,0.054480033,0.394137821,0.67
1119,alabama,-0.007673019,-0.124419062,0.006042815,-0.038173457,-0.484391518,0.010777437,-0.043399699,-0.866494853,0.001434313,27859,0.347,5.547014404,0.714128122,0.29494382,0.72
1127,alabama,-0.013592073,-0.246438085,0.008552525,-0.053297746,-0.492567519,0.03089673,-0.029632851,-0.652401521,0.047546053,45434,0.179,31.4801768,0.060633172,0.514072229,0.9
1101,alabama,-0.017442751,-0.366673993,0.009776737,-0.049147106,-0.554140062,0.016492332,-0.045503171,-0.770883435,0.023496522,49640,0.201,111.5782173,0.585454658,0.334524218,0.92
1019,alabama,-0.011940461,-0.276042358,0.012355135,-0.009041346,-0.234871722,0.02371926,-0.022762661,-0.558588019,0.03321344,42132,0.163,18.0333283,0.042409342,0.581693755,0.8
1095,alabama,-0.015725678,-0.275786367,0.011372955,-0.031535388,-0.390662992,0.022978054,-0.039748317,-0.65469,0.038099251,46233,0.183,64.92182299,0.02403521,0.505758622,0.92
1111,alabama,-0.013640948,-0.260548436,0.011032472,-0.009357452,-0.383561739,0.021195842,-0.022875045,-0.60967346,0.020357845,40546,0.197,15.0131423,0.193619362,0.213573802,0.8
1023,alabama,-0.012190511,-0.305752484,0.009917689,-0.018081823,-0.404888351,0.019555691,-0.038795072,-0.767032214,0.007666453,39907,0.221,5.526508604,0.415154583,0.454370797,0.81
1005,alabama,-0.00966536,-0.29848339,0.012458923,-0.011063978,-0.307703771,0.029172333,-0.023118795,-0.609919635,0.042397811,34382,0.309,11.24798121,0.480326353,0.246283784,0.76
1121,alabama,-0.010212933,-0.223125489,0.008732314,-0.020746603,-0.328145647,0.022874572,-0.026920685,-0.617511896,0.049877353,41630,0.193,42.21915736,0.325675202,0.331380942,0.91
1091,alabama,-0.009227578,-0.282373565,0.010994259,-0.015114856,-0.432057762,0.024531443,-0.022121056,-0.701523166,0.005395997,37733,0.24,7.722101608,0.510752124,0.313577586,0.92
1053,alabama,-0.009786206,-0.332561304,0.013611116,-0.030772272,-0.41617092,0.026053386,-0.028125336,-0.726688695,0.022586181,38418,0.236,15.24764898,0.314030696,0.280872083,0.83
1125,alabama,-0.016466305,-0.271316962,0.012075688,-0.058230326,-0.6200895,0.019773895,-0.05998932,-0.856012912,0.016832531,52557,0.168,60.27841134,0.318446611,0.326301365,0.96
1003,alabama,-0.030158868,-0.382084013,0.025529549,-0.077770101,-0.673464475,0.047735994,-0.068827118,-0.729174968,0.119155777,57588,0.098,50.54150356,0.087839759,0.284595012,1
1035,alabama,-0.012186629,-0.252989399,0.005967921,-0.018477318,-0.489152669,0.016551615,-0.022629574,-0.720030867,0.036082107,32613,0.244,5.682995171,0.456626212,0.287028519,0.72
1075,alabama,-0.013358574,-0.254474801,0.010321397,-0.008983711,-0.341671082,0.017179259,-0.045729329,-0.659674219,0.022505157,40936,0.174,8.894097028,0.103943947,0.217829457,0.77
1009,alabama,-0.015991685,-0.281787372,0.009981442,-0.011657084,-0.315367944,0.025788846,-0.028972331,-0.636221499,0.040231254,50412,0.132,34.51581642,0.014626556,0.255247525,0.82
1031,alabama,-0.013408885,-0.32251483,0.013686286,-0.031873477,-0.375985332,0.022587061,-0.031807439,-0.65904585,0.039479726,55122,0.138,29.16467291,0.171877709,0.298752698,0.94
1033,alabama,-0.011954994,-0.20727193,0.00797306,-0.02680989,-0.369970999,0.020579048,-0.034252828,-0.671401955,0.031785256,49055,0.138,35.49694998,0.1599832,0.380536131,0.88
1093,alabama,-0.010973032,-0.300928583,0.00988354,-0.02231287,-0.425394207,0.02056217,-0.055116019,-0.676771475,0.02490831,37887,0.202,15.58520673,0.037832208,0.358021241,0.83
1041,alabama,-0.02057529,-0.31837241,0.013825191,-0.029685945,-0.495566568,0.014422883,-0.049653811,-0.750969381,0.017735373,39057,0.195,8.792273306,0.232204861,0.67411962,0.84
1083,alabama,-0.013933827,-0.310427982,0.010041932,-0.049000937,-0.478585662,0.019422502,-0.040371932,-0.737367694,0.03022885,64863,0.114,64.16149688,0.134932518,0.456541353,0.86
1077,alabama,-0.018311982,-0.293190172,0.010131762,-0.070654031,-0.64987573,0.025032289,-0.051844545,-0.769023288,0.036722541,48707,0.14,53.51282236,0.098931668,0.313370297,0.8
1063,alabama,-0.005853833,-0.152367727,0.003345332,,,,-0.022603088,-0.557519889,0.016655906,28524,0.301,5.028100131,0.796064618,0.414790997,0.76
1065,alabama,-0.012526952,-0.277257145,0.010993133,,,,-0.049713733,-0.685554329,0.027146506,34724,0.256,8.925557001,0.578025261,0.19765343,0.81
1071,alabama,-0.017073077,-0.274098112,0.014248107,-0.03884924,-0.42668049,0.025890439,-0.029161784,-0.687999208,0.034421583,41929,0.197,18.65848284,0.034134838,0.306233509,0.82
